path	binary
roland.ext.sd.dt.multi.timbre.part3.attackTime	41DE00481210002213
roland.ext.sd.dt.multi.timbre.part3.releaseTime	41DE00481210002214
roland.ext.sd.dt.multi.timbre.part3.octaveShift	41DE00481210002215
roland.ext.sd.dt.multi.timbre.part3.veloSensitivity	41DE00481210002216
roland.ext.sd.dt.multi.timbre.part3.keyRangeLow	41DE00481210002217
roland.ext.sd.dt.multi.timbre.part3.keyRangeHigh	41DE00481210002218
roland.ext.sd.dt.multi.timbre.part3.keyFadeLow	41DE00481210002219
roland.ext.sd.dt.multi.timbre.part3.keyFadeHigh	41DE0048121000221a
roland.ext.sd.dt.multi.timbre.part3.muteSwitch	41DE0048121000221b
roland.ext.sd.dt.multi.timbre.part3.dry	41DE0048121000221c
roland.ext.sd.dt.multi.timbre.part3.chorus	41DE0048121000221d
roland.ext.sd.dt.multi.timbre.part3.reverb	41DE0048121000221e
roland.ext.sd.dt.multi.timbre.part3.outputAssign	41DE0048121000221f
roland.ext.sd.dt.multi.timbre.part3.mfxSlot	41DE00481210002220
roland.ext.sd.dt.multi.timbre.part3.decayTime	41DE00481210002221
roland.ext.sd.dt.multi.timbre.part3.vibratoRate	41DE00481210002222
roland.ext.sd.dt.multi.timbre.part3.vibratoDepth	41DE00481210002223
roland.ext.sd.dt.multi.timbre.part3.vibratoDelay	41DE00481210002224
roland.ext.sd.dt.multi.timbre.part3.modDepth	41DE00481210002225
roland.ext.sd.dt.multi.timbre.part3.patPitch	41DE00481210002226
roland.ext.sd.dt.multi.timbre.part3.patBrightness	41DE00481210002227
roland.ext.sd.dt.multi.timbre.part3.patAmplitude	41DE00481210002228
roland.ext.sd.dt.multi.timbre.part3.patPitchDepth	41DE00481210002229
roland.ext.sd.dt.multi.timbre.part3.patFilterDepth	41DE0048121000222a
roland.ext.sd.dt.multi.timbre.part3.patAmplitudeDepth	41DE0048121000222b
roland.ext.sd.dt.multi.timbre.part3.ccNumber	41DE0048121000222c
roland.ext.sd.dt.multi.timbre.part3.ccPitch	41DE0048121000222d
roland.ext.sd.dt.multi.timbre.part3.ccBrightness	41DE0048121000222e
roland.ext.sd.dt.multi.timbre.part3.ccAmplitude	41DE0048121000222f
roland.ext.sd.dt.multi.timbre.part3.ccPitchDepth	41DE00481210002230
roland.ext.sd.dt.multi.timbre.part3.ccFilterDepth	41DE00481210002231
roland.ext.sd.dt.multi.timbre.part3.ccAmplitudeDepth	41DE00481210002232
roland.ext.sd.dt.multi.timbre.part3.scaleTune0	41DE00481210002233
roland.ext.sd.dt.multi.timbre.part3.scaleTune1	41DE00481210002234
roland.ext.sd.dt.multi.timbre.part3.scaleTune2	41DE00481210002235
roland.ext.sd.dt.multi.timbre.part3.scaleTune3	41DE00481210002236
roland.ext.sd.dt.multi.timbre.part3.scaleTune4	41DE00481210002237
roland.ext.sd.dt.multi.timbre.part3.scaleTune5	41DE00481210002238
roland.ext.sd.dt.multi.timbre.part3.scaleTune6	41DE00481210002239
roland.ext.sd.dt.multi.timbre.part3.scaleTune7	41DE0048121000223a
roland.ext.sd.dt.multi.timbre.part3.scaleTune8	41DE0048121000223b
roland.ext.sd.dt.multi.timbre.part3.scaleTune9	41DE0048121000223c
roland.ext.sd.dt.multi.timbre.part3.scaleTune10	41DE0048121000223d
roland.ext.sd.dt.multi.timbre.part3.scaleTune11	41DE0048121000223e
roland.ext.sd.dt.multi.timbre.part3.sdGm2Set	41DE0048121000223f
roland.ext.sd.dt.multi.timbre.part4	41DE004812100023
